ds;y
01/11/2024;0.0
02/11/2024;153.0
03/11/2024;0.0
04/11/2024;0.0
05/11/2024;89.0
06/11/2024;46.0
07/11/2024;14.0
08/11/2024;213.0
09/11/2024;365.0
10/11/2024;0.0
11/11/2024;0.0
12/11/2024;49.0
13/11/2024;103.0
14/11/2024;275.0
15/11/2024;426.0
16/11/2024;0.0
17/11/2024;0.0
18/11/2024;0.0
19/11/2024;158.0
20/11/2024;65.0
21/11/2024;71.0
22/11/2024;526.0
23/11/2024;186.0
24/11/2024;0.0
25/11/2024;23.0
26/11/2024;239.0
27/11/2024;70.0
28/11/2024;59.0
29/11/2024;457.0
30/11/2024;77.0
01/12/2024;0.0
02/12/2024;0.0
03/12/2024;50.0
04/12/2024;54.0
05/12/2024;26.0
06/12/2024;461.0
07/12/2024;392.0
08/12/2024;0.0
09/12/2024;0.0
10/12/2024;134.0
11/12/2024;178.0
12/12/2024;44.0
13/12/2024;658.0
14/12/2024;209.0
15/12/2024;0.0
16/12/2024;20.0
17/12/2024;253.0
18/12/2024;333.0
19/12/2024;177.0
20/12/2024;274.0
21/12/2024;382.0
22/12/2024;628.0
23/12/2024;0.0
24/12/2024;305.0
25/12/2024;60.0
26/12/2024;5.0
27/12/2024;0.0
28/12/2024;0.0
29/12/2024;0.0
30/12/2024;0.0
31/12/2024;0.0
01/01/2025;0.0
02/01/2025;0.0
03/01/2025;0.0
04/01/2025;0.0
05/01/2025;0.0
06/01/2025;0.0
07/01/2025;51.0
08/01/2025;211.0
09/01/2025;17.0
10/01/2025;284.0
11/01/2025;279.0
12/01/2025;0.0
13/01/2025;0.0
14/01/2025;105.0
15/01/2025;108.0
16/01/2025;137.0
17/01/2025;303.0
18/01/2025;14.0
19/01/2025;0.0
20/01/2025;0.0
21/01/2025;134.0
22/01/2025;82.0
23/01/2025;70.0
24/01/2025;144.0
25/01/2025;628.0
26/01/2025;0.0
27/01/2025;0.0
28/01/2025;147.0
29/01/2025;233.0
30/01/2025;281.0
31/01/2025;744.0
01/02/2025;0.0
02/02/2025;0.0
03/02/2025;0.0
04/02/2025;120.0
05/02/2025;96.0
06/02/2025;37.0
07/02/2025;230.0
08/02/2025;309.0
09/02/2025;0.0
10/02/2025;78.0
11/02/2025;110.0
12/02/2025;142.0
13/02/2025;56.0
14/02/2025;239.0
15/02/2025;548.0
16/02/2025;0.0
17/02/2025;0.0
18/02/2025;421.0
19/02/2025;74.0
20/02/2025;32.0
21/02/2025;288.0
22/02/2025;942.0
23/02/2025;0.0
24/02/2025;0.0
25/02/2025;142.0
26/02/2025;207.0
27/02/2025;59.0
28/02/2025;1405.0
01/03/2025;47.0
02/03/2025;0.0
03/03/2025;0.0
04/03/2025;0.0
05/03/2025;0.0
06/03/2025;11.0
07/03/2025;588.0
08/03/2025;0.0
09/03/2025;0.0
10/03/2025;0.0
11/03/2025;204.0
12/03/2025;300.0
13/03/2025;52.0
14/03/2025;290.0
15/03/2025;1198.0
16/03/2025;0.0
17/03/2025;56.0
18/03/2025;296.0
19/03/2025;515.0
20/03/2025;6.0
21/03/2025;277.0
22/03/2025;1216.0
23/03/2025;0.0
24/03/2025;0.0
25/03/2025;255.0
26/03/2025;269.0
27/03/2025;105.0
28/03/2025;237.0
29/03/2025;882.0
30/03/2025;0.0
31/03/2025;0.0
01/04/2025;0.0
02/04/2025;215.0
03/04/2025;28.0
04/04/2025;64.0
05/04/2025;338.0
06/04/2025;0.0
07/04/2025;0.0
08/04/2025;0.0
09/04/2025;25.0
10/04/2025;32.0
11/04/2025;344.0
12/04/2025;435.0
13/04/2025;0.0
14/04/2025;0.0
15/04/2025;226.0
16/04/2025;120.0
17/04/2025;30.0
18/04/2025;207.0
19/04/2025;0.0
20/04/2025;0.0
21/04/2025;0.0
22/04/2025;9.0
23/04/2025;41.0
24/04/2025;51.0
25/04/2025;275.0
26/04/2025;235.0
27/04/2025;0.0
28/04/2025;0.0
29/04/2025;170.0
30/04/2025;56.0
01/05/2025;12.0
02/05/2025;0.0
03/05/2025;161.0
04/05/2025;0.0
05/05/2025;0.0
06/05/2025;106.0
07/05/2025;70.0
08/05/2025;22.0
09/05/2025;72.0
10/05/2025;173.0
11/05/2025;0.0
12/05/2025;0.0
13/05/2025;31.0
14/05/2025;8.0
15/05/2025;7.0
16/05/2025;242.0
17/05/2025;212.0
18/05/2025;6.0
19/05/2025;0.0
20/05/2025;75.0
21/05/2025;31.0
22/05/2025;202.0
23/05/2025;115.0
24/05/2025;156.0
25/05/2025;0.0
26/05/2025;0.0
27/05/2025;123.0
28/05/2025;72.0
29/05/2025;6.0
30/05/2025;30.0
31/05/2025;262.0
